account_id,account_label_code,label_code,label_type,label_text,label_A_suspect_vs_other,label_B_fraud_related_vs_other,label_C_three_class
54,2,2,受害人,受害人,-1,1,2
55,2,2,受害人,受害人,-1,1,2
59,2,2,受害人,受害人,-1,1,2
63,2,2,受害人,受害人,-1,1,2
64,2,2,受害人,受害人,-1,1,2
65,2,2,受害人,受害人,-1,1,2
66,2,2,受害人,受害人,-1,1,2
87,2,2,受害人,受害人,-1,1,2
89,2,2,受害人,受害人,-1,1,2
92,2,2,受害人,受害人,-1,1,2
93,2,2,受害人,受害人,-1,1,2
97,2,2,受害人,受害人,-1,1,2
98,2,2,受害人,受害人,-1,1,2
150,2,2,受害人,受害人,-1,1,2
154,2,2,受害人,受害人,-1,1,2
159,2,2,受害人,受害人,-1,1,2
160,2,2,受害人,受害人,-1,1,2
165,2,2,受害人,受害人,-1,1,2
185,2,2,受害人,受害人,-1,1,2
189,2,2,受害人,受害人,-1,1,2
320,2,2,受害人,受害人,-1,1,2
325,2,2,受害人,受害人,-1,1,2
328,2,2,受害人,受害人,-1,1,2
329,2,2,受害人,受害人,-1,1,2
333,2,2,受害人,受害人,-1,1,2
334,2,2,受害人,受害人,-1,1,2
335,2,2,受害人,受害人,-1,1,2
343,2,2,受害人,受害人,-1,1,2
347,2,2,受害人,受害人,-1,1,2
351,2,2,受害人,受害人,-1,1,2
354,2,2,受害人,受害人,-1,1,2
362,2,2,受害人,受害人,-1,1,2
370,2,2,受害人,受害人,-1,1,2
372,2,2,受害人,受害人,-1,1,2
374,2,2,受害人,受害人,-1,1,2
375,2,2,受害人,受害人,-1,1,2
378,2,2,受害人,受害人,-1,1,2
379,2,2,受害人,受害人,-1,1,2
383,2,2,受害人,受害人,-1,1,2
386,2,2,受害人,受害人,-1,1,2
387,2,2,受害人,受害人,-1,1,2
392,2,2,受害人,受害人,-1,1,2
398,2,2,受害人,受害人,-1,1,2
399,2,2,受害人,受害人,-1,1,2
409,2,2,受害人,受害人,-1,1,2
411,2,2,受害人,受害人,-1,1,2
413,2,2,受害人,受害人,-1,1,2
442,2,2,受害人,受害人,-1,1,2
443,2,2,受害人,受害人,-1,1,2
444,2,2,受害人,受害人,-1,1,2
446,2,2,受害人,受害人,-1,1,2
496,2,2,受害人,受害人,-1,1,2
508,2,2,受害人,受害人,-1,1,2
514,2,2,受害人,受害人,-1,1,2
517,2,2,受害人,受害人,-1,1,2
527,2,2,受害人,受害人,-1,1,2
528,2,2,受害人,受害人,-1,1,2
565,2,2,受害人,受害人,-1,1,2
566,2,2,受害人,受害人,-1,1,2
571,2,2,受害人,受害人,-1,1,2
577,2,2,受害人,受害人,-1,1,2
587,2,2,受害人,受害人,-1,1,2
588,2,2,受害人,受害人,-1,1,2
593,2,2,受害人,受害人,-1,1,2
596,2,2,受害人,受害人,-1,1,2
598,2,2,受害人,受害人,-1,1,2
605,2,2,受害人,受害人,-1,1,2
608,2,2,受害人,受害人,-1,1,2
612,2,2,受害人,受害人,-1,1,2
613,2,2,受害人,受害人,-1,1,2
615,2,2,受害人,受害人,-1,1,2
616,2,2,受害人,受害人,-1,1,2
617,2,2,受害人,受害人,-1,1,2
620,2,2,受害人,受害人,-1,1,2
624,2,2,受害人,受害人,-1,1,2
630,2,2,受害人,受害人,-1,1,2
633,2,2,受害人,受害人,-1,1,2
666,2,2,受害人,受害人,-1,1,2
668,2,2,受害人,受害人,-1,1,2
680,2,2,受害人,受害人,-1,1,2
683,2,2,受害人,受害人,-1,1,2
684,2,2,受害人,受害人,-1,1,2
695,2,2,受害人,受害人,-1,1,2
707,2,2,受害人,受害人,-1,1,2
708,2,2,受害人,受害人,-1,1,2
709,2,2,受害人,受害人,-1,1,2
710,2,2,受害人,受害人,-1,1,2
711,2,2,受害人,受害人,-1,1,2
739,2,2,受害人,受害人,-1,1,2
742,2,2,受害人,受害人,-1,1,2
747,2,2,受害人,受害人,-1,1,2
748,2,2,受害人,受害人,-1,1,2
750,2,2,受害人,受害人,-1,1,2
752,2,2,受害人,受害人,-1,1,2
758,2,2,受害人,受害人,-1,1,2
762,2,2,受害人,受害人,-1,1,2
763,2,2,受害人,受害人,-1,1,2
765,2,2,受害人,受害人,-1,1,2
861,2,2,受害人,受害人,-1,1,2
870,2,2,受害人,受害人,-1,1,2
