account_id,label_type,label_code
1,其它,0
2,其它,0
3,其它,0
4,其它,0
5,其它,0
6,其它,0
7,其它,0
8,其它,0
9,其它,0
10,其它,0
11,其它,0
12,其它,0
13,其它,0
14,其它,0
15,其它,0
16,其它,0
17,其它,0
18,嫌疑人,1
19,其它,0
20,其它,0
21,其它,0
22,其它,0
23,其它,0
24,其它,0
25,其它,0
26,其它,0
27,其它,0
28,其它,0
29,其它,0
30,其它,0
31,其它,0
32,其它,0
33,其它,0
34,其它,0
35,其它,0
36,其它,0
37,其它,0
38,其它,0
39,其它,0
40,其它,0
41,其它,0
42,其它,0
43,其它,0
44,其它,0
45,其它,0
46,其它,0
47,其它,0
48,其它,0
49,其它,0
50,其它,0
51,其它,0
52,其它,0
53,其它,0
54,受害人,2
55,受害人,2
56,其它,0
57,其它,0
58,其它,0
59,受害人,2
60,其它,0
61,其它,0
62,其它,0
63,受害人,2
64,受害人,2
65,受害人,2
66,受害人,2
67,其它,0
68,其它,0
69,其它,0
70,其它,0
71,其它,0
72,其它,0
73,其它,0
74,其它,0
75,其它,0
76,其它,0
77,其它,0
78,其它,0
79,其它,0
80,其它,0
81,其它,0
82,其它,0
83,其它,0
84,其它,0
85,其它,0
86,其它,0
87,受害人,2
88,其它,0
89,受害人,2
90,其它,0
91,其它,0
92,受害人,2
93,受害人,2
94,其它,0
95,其它,0
96,其它,0
97,受害人,2
98,受害人,2
99,其它,0
100,其它,0
101,其它,0
102,其它,0
103,其它,0
104,其它,0
105,其它,0
106,其它,0
107,其它,0
108,其它,0
109,其它,0
110,其它,0
111,其它,0
112,其它,0
113,嫌疑人,1
114,其它,0
115,其它,0
116,其它,0
117,其它,0
118,其它,0
119,其它,0
120,其它,0
121,其它,0
122,其它,0
123,其它,0
124,其它,0
125,其它,0
126,其它,0
127,其它,0
128,其它,0
129,其它,0
130,其它,0
131,其它,0
132,其它,0
133,其它,0
134,其它,0
135,其它,0
136,其它,0
137,其它,0
138,其它,0
139,其它,0
140,其它,0
141,其它,0
142,其它,0
143,其它,0
144,其它,0
145,其它,0
146,其它,0
147,其它,0
148,其它,0
149,其它,0
150,受害人,2
151,其它,0
152,其它,0
153,其它,0
154,受害人,2
155,其它,0
156,其它,0
157,其它,0
158,其它,0
159,受害人,2
160,受害人,2
161,其它,0
162,其它,0
163,其它,0
164,其它,0
165,受害人,2
166,其它,0
167,其它,0
168,其它,0
169,其它,0
170,其它,0
171,其它,0
172,其它,0
173,其它,0
174,其它,0
175,其它,0
176,其它,0
177,其它,0
178,其它,0
179,其它,0
180,其它,0
181,其它,0
182,其它,0
183,其它,0
184,其它,0
185,受害人,2
186,其它,0
187,其它,0
188,其它,0
189,受害人,2
190,其它,0
191,其它,0
192,其它,0
193,其它,0
194,其它,0
195,其它,0
196,其它,0
197,其它,0
198,其它,0
199,其它,0
200,其它,0
201,其它,0
202,其它,0
203,其它,0
204,其它,0
205,其它,0
206,其它,0
207,其它,0
208,其它,0
209,其它,0
210,其它,0
211,其它,0
212,其它,0
213,其它,0
214,其它,0
215,其它,0
216,其它,0
217,嫌疑人,1
218,其它,0
219,其它,0
220,其它,0
221,其它,0
222,其它,0
223,嫌疑人,1
224,其它,0
225,其它,0
226,其它,0
227,其它,0
228,其它,0
229,其它,0
230,其它,0
231,其它,0
232,其它,0
233,其它,0
234,其它,0
235,其它,0
236,其它,0
237,其它,0
238,其它,0
239,其它,0
240,其它,0
241,其它,0
242,其它,0
243,其它,0
244,其它,0
245,其它,0
246,其它,0
247,其它,0
248,其它,0
249,其它,0
250,其它,0
251,其它,0
252,其它,0
253,其它,0
254,其它,0
255,其它,0
256,其它,0
257,其它,0
258,其它,0
259,其它,0
260,其它,0
261,其它,0
262,其它,0
263,其它,0
264,其它,0
265,其它,0
266,其它,0
267,其它,0
268,其它,0
269,其它,0
270,其它,0
271,其它,0
272,其它,0
273,其它,0
274,其它,0
275,其它,0
276,其它,0
277,其它,0
278,其它,0
279,嫌疑人,1
280,其它,0
281,其它,0
282,其它,0
283,其它,0
284,其它,0
285,其它,0
286,其它,0
287,其它,0
288,其它,0
289,其它,0
290,其它,0
291,其它,0
292,其它,0
293,其它,0
294,其它,0
295,其它,0
296,其它,0
297,其它,0
298,其它,0
299,其它,0
300,其它,0
301,其它,0
302,其它,0
303,其它,0
304,其它,0
305,其它,0
306,其它,0
307,其它,0
308,其它,0
309,其它,0
310,其它,0
311,其它,0
312,其它,0
313,其它,0
314,其它,0
315,其它,0
316,其它,0
317,其它,0
318,其它,0
319,其它,0
320,受害人,2
321,其它,0
322,其它,0
323,其它,0
324,其它,0
325,受害人,2
326,其它,0
327,其它,0
328,受害人,2
329,受害人,2
330,其它,0
331,其它,0
332,其它,0
333,受害人,2
334,受害人,2
335,受害人,2
336,其它,0
337,其它,0
338,其它,0
339,其它,0
340,其它,0
341,其它,0
342,其它,0
343,受害人,2
344,其它,0
345,其它,0
346,其它,0
347,受害人,2
348,其它,0
349,其它,0
350,其它,0
351,受害人,2
352,其它,0
353,其它,0
354,受害人,2
355,其它,0
356,其它,0
357,其它,0
358,其它,0
359,其它,0
360,其它,0
361,其它,0
362,受害人,2
363,其它,0
364,其它,0
365,其它,0
366,其它,0
367,其它,0
368,其它,0
369,其它,0
370,受害人,2
371,其它,0
372,受害人,2
373,其它,0
374,受害人,2
375,受害人,2
376,其它,0
377,其它,0
378,受害人,2
379,受害人,2
380,其它,0
381,其它,0
382,其它,0
383,受害人,2
384,其它,0
385,其它,0
386,受害人,2
387,受害人,2
388,其它,0
389,其它,0
390,其它,0
391,其它,0
392,受害人,2
393,其它,0
394,其它,0
395,其它,0
396,其它,0
397,其它,0
398,受害人,2
399,受害人,2
400,其它,0
401,其它,0
402,其它,0
403,其它,0
404,其它,0
405,其它,0
406,其它,0
407,其它,0
408,其它,0
