account_id,account_label_code,account_age_months,region_code,customer_type
5662,2,6.06451613,166,对私
5660,2,6.96774194,3,对私
1229,2,5.29032258,226,对私
3386,2,99.5483871,570,对私
8085,2,22.19354839,447,对私
1247,2,42.0,452,对私
10990,2,39.96774194,562,对私
2422,1,134.06451613,690,对私
7364,2,80.41935484,524,对私
10067,2,51.67741935,43,对私
5661,2,51.22580645,109,对私
1233,2,238.09677419,415,对私
8089,2,153.19354839,317,对私
8087,2,149.06451613,277,对私
10066,2,112.83870968,146,对私
5659,2,167.48387097,900,对私
10988,2,70.90322581,877,对私
1242,2,11.96774194,311,对私
5657,2,21.19354839,760,对私
7372,2,8.58064516,586,对私
5649,2,66.96774194,311,对私
1239,2,90.61290323,537,对私
3384,2,88.22580645,813,对私
6968,2,124.51612903,917,对私
3784,2,166.83870968,724,对私
6963,2,78.22580645,850,对私
1241,2,89.35483871,166,对私
10068,2,70.5483871,368,对私
3768,0,254.67741935,460,对私
3780,2,85.32258065,83,对私
3782,2,130.4516129,106,对私
10989,2,84.38709677,755,对私
5666,2,9.35483871,257,对私
10059,0,260.38709677,412,对私
5328,0,260.38709677,412,对私
3382,2,107.48387097,273,对私
10411,2,89.70967742,595,对私
3773,2,39.06451613,17,对私
10426,0,260.38709677,412,对私
1230,2,48.51612903,811,对私
8091,2,34.22580645,17,对私
3388,2,63.83870968,208,对私
8445,0,225.4516129,481,对私
10055,2,12.16129032,321,对私
7018,0,224.93548387,426,对私
10978,0,224.93548387,426,对私
3772,2,145.64516129,455,对私
3378,2,15.4516129,863,对私
8927,0,226.38709677,462,对私
3778,0,226.38709677,462,对私
3393,2,9.06451613,822,对私
8753,1,79.48387097,125,对私
2413,1,46.32258065,551,对私
10064,0,275.58064516,426,对私
10063,2,197.58064516,814,对私
11038,2,39.32258065,37,对私
9874,2,20.38709677,322,对私
9870,2,107.32258065,319,对私
3472,1,82.4516129,451,对私
2971,2,260.61290323,412,对私
93,2,141.58064516,738,对私
7860,2,291.64516129,746,对私
2969,2,112.61290323,368,对私
89,2,13.25806452,17,对私
9871,2,216.61290323,447,对私
10549,2,117.5483871,311,对私
7853,2,212.32258065,224,对私
4625,1,7.51612903,17,对私
10548,2,130.41935484,448,对私
1521,2,117.67741935,222,对私
6585,2,244.25806452,80,对私
92,2,180.61290323,566,对私
10553,0,237.67741935,426,对私
1524,2,93.51612903,815,对私
9873,2,14.5483871,17,对私
7851,2,113.83870968,738,对私
6588,2,22.70967742,417,对私
6242,0,249.87096774,477,对私
91,0,254.16129032,426,对私
9861,2,285.67741935,697,对私
10543,2,208.41935484,277,对私
7859,2,39.93548387,640,对私
6581,2,26.67741935,314,对私
9875,2,162.70967742,874,对私
6236,0,285.25806452,477,对私
198,0,242.03225806,433,对私
98,2,157.64516129,937,对私
97,2,36.80645161,257,对私
6571,2,43.38709677,950,对私
113,1,64.96774194,655,对私
6570,2,61.48387097,633,对私
10546,2,183.96774194,498,对私
87,2,98.80645161,540,对私
4629,1,43.38709677,255,对私
11040,2,126.87096774,562,对私
1516,2,52.12903226,783,对私
11032,2,42.77419355,217,对私
11036,2,191.87096774,176,对私
7857,2,4.93548387,460,对私
4179,0,220.58064516,426,对私
11039,2,96.12903226,850,对私
6575,2,53.41935484,9,对私
6243,2,84.67741935,832,对私
1520,2,81.19354839,747,对私
6229,2,73.5483871,699,对私
185,2,156.64516129,448,对私
189,2,121.16129032,587,对私
6574,2,114.70967742,291,对私
3158,0,55.35483871,696,对公
8027,0,109.03225806,15,对公
3971,0,292.96774194,535,对公
6780,0,53.4516129,325,对公
2497,0,32.32258065,566,对公
3734,0,24.64516129,535,对公
3613,0,78.06451613,17,对公
6660,0,60.48387097,551,对公
76,0,69.35483871,652,对公
1967,0,54.61290323,460,对公
8157,0,21.03225806,651,对公
2062,0,173.41935484,448,对公
9010,0,60.06451613,460,对公
3324,0,30.03225806,28,对公
7597,0,234.90322581,166,对公
2341,0,234.90322581,166,对公
8022,0,147.58064516,582,对公
4371,0,277.35483871,460,对公
9023,0,47.48387097,319,对公
8193,0,217.90322581,655,对公
3620,0,212.16129032,613,对公
8597,0,204.35483871,206,对公
11086,0,185.96774194,207,对公
5404,0,158.0,723,对公
153,0,155.32258065,755,对公
7510,0,148.19354839,412,对公
469,0,140.16129032,838,对公
5725,0,146.29032258,726,对公
5714,1,144.67741935,585,对公
2994,0,146.29032258,610,对公
4901,0,138.35483871,289,对公
9470,0,129.96774194,289,对公
464,0,119.67741935,633,对公
2811,0,113.5483871,185,对公
9790,0,109.5483871,760,对公
8197,0,107.09677419,655,对公
5123,0,101.48387097,444,对公
5400,0,102.67741935,937,对公
8222,0,94.61290323,562,对公
1943,0,96.19354839,908,对公
5054,0,89.96774194,158,对公
208,0,86.67741935,609,对公
9915,0,85.4516129,818,对公
4505,0,89.06451613,819,对公
218,0,81.19354839,167,对公
10126,0,83.09677419,257,对公
6803,0,72.74193548,683,对公
951,0,72.25806452,340,对公
4229,0,72.25806452,646,对公
10625,0,84.25806452,820,对公
8780,0,71.90322581,851,对公
6298,0,69.32258065,257,对公
7802,0,62.64516129,645,对公
8416,0,63.35483871,607,对公
5394,0,63.29032258,645,对公
5894,0,56.4516129,863,对公
4994,0,64.09677419,277,对公
1936,0,68.35483871,680,对公
11069,0,58.32258065,543,对公
5581,0,58.03225806,680,对公
7804,0,64.58064516,157,对公
9991,0,52.5483871,645,对公
3353,0,53.70967742,563,对公
4203,0,52.74193548,415,对公
5715,0,49.25806452,366,对公
9475,0,49.25806452,366,对公
5901,0,49.0,633,对公
6247,0,50.38709677,651,对公
6865,0,47.87096774,513,对公
5851,0,50.25806452,310,对公
6940,0,44.70967742,643,对公
10383,0,45.19354839,157,对公
5899,0,39.96774194,624,对公
6287,0,43.35483871,946,对公
4927,0,40.41935484,910,对公
361,0,35.09677419,448,对公
8023,0,35.4516129,946,对公
3405,0,33.64516129,600,对公
4292,0,38.06451613,513,对公
1790,0,30.93548387,502,对公
6863,0,32.06451613,190,对公
7551,0,29.74193548,633,对公
11087,0,29.5483871,651,对公
1510,0,29.58064516,178,对公
4843,0,32.77419355,363,对公
1938,0,27.77419355,183,对公
3400,0,30.03225806,451,对公
4727,0,30.03225806,451,对公
10373,0,29.77419355,359,对公
3854,0,27.06451613,434,对公
6417,0,22.0,272,对公
5860,0,21.87096774,648,对公
10083,0,22.4516129,461,对公
5159,0,25.58064516,585,对公
2695,0,21.19354839,911,对公
6616,0,21.77419355,157,对公
3317,0,16.25806452,168,对公
869,0,13.41935484,26,对公
1033,0,12.29032258,913,对公
4935,0,9.12903226,362,对公
1021,0,8.58064516,829,对公
6796,0,13.90322581,26,对公
9198,0,16.4516129,773,对公
3162,0,14.70967742,869,对公
8151,0,8.58064516,633,对公
6816,0,8.32258065,140,对公
5643,0,6.96774194,783,对公
9964,0,7.96774194,645,对公
4670,0,8.35483871,804,对公
6621,0,8.35483871,784,对公
6149,0,15.32258065,633,对公
8414,0,10.83870968,633,对公
2815,0,20.83870968,17,对公
5913,0,20.48387097,55,对公
7648,0,19.25806452,17,对公
8215,0,19.25806452,17,对公
1202,0,20.09677419,157,对公
6055,0,18.25806452,488,对公
6441,0,12.41935484,128,对公
3167,0,8.03225806,138,对公
2855,0,8.77419355,208,对公
5045,0,11.38709677,746,对公
3252,0,15.12903226,863,对公
3957,0,10.19354839,392,对公
8553,0,8.09677419,820,对公
10079,0,17.19354839,743,对公
5361,0,10.22580645,910,对公
8038,0,8.09677419,738,对公
5880,0,8.58064516,322,对公
